new_code_raw	old_code_raw	new_comment_raw	old_comment_raw	label	pre_label	AST_level	line_counts	new_code_token_num
private static EmbeddedElasticsearchNode create(Settings settings) { // ensure PainlessPlugin is installed or otherwise scripted fields would not work Node node = new LocalNode(settings, Arrays.asList(Netty4Plugin.class, PainlessPlugin.class)); return new EmbeddedElasticsearchNode(node); }	"  public static EmbeddedElasticsearchNode create() {
    File data = Files.createTempDir();
    data.deleteOnExit();
    File home = Files.createTempDir();
    home.deleteOnExit();

    Settings settings = Settings.builder()
        .put(""node.name"", ""fake-elastic"")
        .put(""path.home"", home.getAbsolutePath())
        .put(""path.data"", data.getAbsolutePath())
        .put(""http.type"", ""netty4"")
        .put(""network.host"", ""localhost"")
        .build();

    return create(settings);
  }
"	Creates an instance with existing settings	Creates elastic node as single member of a cluster.	1	0	8	6	48
"private byte[] marshalAggregatorValues(long superstep) { if (superstep == INPUT_SUPERSTEP) { return new byte[0]; } ByteArrayOutputStream outputStream = new ByteArrayOutputStream(); DataOutputStream output = new DataOutputStream(outputStream); for (Entry<String, AggregatorWrapper<Writable>> entry : getAggregatorMap().entrySet()) { if (entry.getValue().isChanged()) { try { output.writeUTF(entry.getKey()); entry.getValue().getCurrentAggregatedValue().write(output); } catch (IOException e) { throw new IllegalStateException(""Failed to marshall aggregator "" + ""with IOException "" + entry.getKey(), e); } } } if (LOG.isInfoEnabled()) { LOG.info( ""marshalAggregatorValues: Finished assembling aggregator values""); } return outputStream.toByteArray(); }"	"  private JSONArray marshalAggregatorValues(long superstep) {
    JSONArray aggregatorArray = new JSONArray();
    if ((superstep == INPUT_SUPERSTEP) || (aggregatorInUse.size() == 0)) {
      return aggregatorArray;
    }

    for (String name : aggregatorInUse) {
      try {
        Aggregator<Writable> aggregator = getAggregatorMap().get(name);
        ByteArrayOutputStream outputStream =
            new ByteArrayOutputStream();
        DataOutput output = new DataOutputStream(outputStream);
        aggregator.getAggregatedValue().write(output);

        JSONObject aggregatorObj = new JSONObject();
        aggregatorObj.put(AGGREGATOR_NAME_KEY, name);
        aggregatorObj.put(AGGREGATOR_CLASS_NAME_KEY,
            aggregator.getClass().getName());
        aggregatorObj.put(
            AGGREGATOR_VALUE_KEY,
            Base64.encodeBytes(outputStream.toByteArray()));
        aggregatorArray.put(aggregatorObj);
        if (LOG.isInfoEnabled()) {
          LOG.info(""marshalAggregatorValues: "" +
              ""Found aggregatorObj "" +
              aggregatorObj + "", value ("" +
              aggregator.getAggregatedValue() + "")"");
        }
      } catch (JSONException e) {
        throw new IllegalStateException(""Failed to marshall aggregator "" +
            ""with JSONException "" + name, e);
      } catch (IOException e) {
        throw new IllegalStateException(""Failed to marshall aggregator "" +
            ""with IOException "" + name, e);
      }
    }

    if (LOG.isInfoEnabled()) {
      LOG.info(""marshalAggregatorValues: Finished assembling "" +
          ""aggregator values in JSONArray - "" + aggregatorArray);
    }
    aggregatorInUse.clear();
    return aggregatorArray;
  }
"	Marshal the aggregator values of the worker to a byte array that will later be aggregated by master.	Marshal the aggregator values of to a JSONArray that will later be aggregated by master.	1	0	13	28	153
public static List<RelDataType> getFieldTypeList(final RelDataType type) { return Lists.transform(type.getFieldList(), GET_TYPE); }	"  public static List<RelDataType> getFieldTypeList(final RelDataType type) {
    return new AbstractList<RelDataType>() {
      public RelDataType get(int index) {
        return type.getFieldList().get(index).getType();
      }

      public int size() {
        return type.getFieldCount();
      }
    };
  }
"	Returns a list of the types of the fields in a given struct type.	Returns a list of the types of the fields in a given struct type.	0	1	5	4	24
"static MongoDatabasePolicy create() { final MongoClient client; if (MongoAssertions.useMongo()) { // use to real client (connects to mongo) client = new MongoClient(); } else if (MongoAssertions.useFongo()) { // in-memory DB (fake Mongo) client = new Fongo(MongoDatabasePolicy.class.getSimpleName()).getMongo(); } else { throw new UnsupportedOperationException(""I can only connect to Mongo or Fongo instances""); } return new MongoDatabasePolicy(client); }"	"  static MongoDatabaseRule create() {
    final MongoClient client;
    if (MongoAssertions.useMongo()) {
      // use to real client (connects to mongo)
      client = new MongoClient();
    } else if (MongoAssertions.useFongo()) {
      // in-memory DB (fake Mongo)
      client = new Fongo(MongoDatabaseRule.class.getSimpleName()).getMongo();
    } else {
      throw new UnsupportedOperationException(""I can only connect to Mongo or Fongo instances"");
    }

    return new MongoDatabaseRule(client);
  }
"	Creates an instance based on current maven profile (as defined by  -Pit).	Create an instance based on current maven profile (as defined by -Pit).	1	0	10	16	98
public Struct ceDataAttribute() { return recordParser.data(); }	"    public Struct ceDataAttribute() {
        Struct data = new Struct(ceDataAttributeSchema());
        if (recordParser.before() != null) {
            data.put(Envelope.FieldName.BEFORE, recordParser.before());
        }
        if (recordParser.after() != null) {
            data.put(Envelope.FieldName.AFTER, recordParser.after());
        }
        return data;
    }
"	Construct the value of the data attribute of CloudEvents.	Construct the value of the data attribute of CloudEvents.	0	1	4	4	13
public File getSinkFile() { return queue.file(); }	"	public File getSinkFile() {
		return sinkFile;
	}
"	Returns the queue directory	Returns	1	0	4	5	13
public boolean isMirrored() { if (!fMirroringEnabled) return false; Object property = getProperty(MIRRORED); return property instanceof Boolean && (Boolean) property; }	"	public boolean isMirrored() {
		Object property = getProperty(MIRRORED);
		return property instanceof Boolean && (Boolean) property;
	}
"	Returns true if the compare viewer is mirrored, i.e.	Only the views are mirrored.	1	0	6	8	33
"public float getKylinHBaseRegionCut() { return Float.valueOf(getOptional(""kylin.hbase.region.cut"", ""5.0"")); }"	"    public float getKylinHBaseRegionCut() {
        return Float.valueOf(getOptional(""kylin.hbase.region.cut"", ""1.0""));
    }
"	HBase region cut size, in GB	HBase region cut size, in GB	0	1	6	4	27
public Lob build() { return new Lob(this); }	"        public Ravioli build() {
            return new Ravioli(this);
        }
"	Build a Lob client	Build a Ravioli client	1	0	5	5	14
public static Builder copy(Configuration config) { return new Builder() { private Configuration.Builder builder = Configuration.copy(config); @Override public Builder with(String key, String value) { builder.with(key, value); return this; } @Override public Builder withDefault(String key, String value) { builder.withDefault(key, value); return this; } @Override public Builder apply(Consumer<Builder> function) { function.accept(this); return this; } @Override public Builder changeString(Field field, Function<String, String> function) { changeString(field,function); return this; } @Override public Builder changeString(String key, Function<String, String> function) { changeString(key,function); return this; } @Override public JdbcConfiguration build() { return JdbcConfiguration.adapt(builder.build()); } @Override public String toString() { return builder.toString(); } }; }	"    public static Builder copy(Configuration config) {
        return new Builder() {
            private Properties props = config.asProperties();

            @Override
            public Builder with(String key, String value) {
                props.setProperty(key, value);
                return this;
            }

            @Override
            public Builder withDefault(String key, String value) {
                if (!props.containsKey(key)) {
                    props.setProperty(key, value);
                }
                return this;
            }

            @Override
            public Builder apply(Consumer<Builder> function) {
                function.accept(this);
                return this;
            }

            @Override
            public JdbcConfiguration build() {
                return JdbcConfiguration.adapt(Configuration.from(props));
            }

            @Override
            public String toString() {
                return props.toString();
            }
        };
    }
"	Create a new  Builder configuration builder that starts with a copy of the supplied configuration.	Create a new Builder configuration builder that starts with a copy of the supplied configuration.	0	1	9	46	187
